workload,trace_id,scale_selected,node_id,call_index,trace_llm_calls,prompt_qwen36_tokens,input_nemotron_tokens,output_recorded_tokens,output_reasoning_tokens,output_nonreasoning_tokens,output_unknown_tokens,capture_llm_phase_seconds
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,True,llm-004,4,9,13305,13983,66,11,55,0,1.0310001373291016
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,True,llm-005,5,9,13902,14579,88,31,57,0,1.3009998798370361
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,True,llm-006,6,9,16551,17276,184,122,62,0,2.5329999923706055
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,True,llm-007,7,9,16863,17594,105,47,58,0,1.4650001525878906
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,True,llm-008,8,9,17176,17912,68,15,53,0,1.0759999752044678
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,True,llm-009,9,9,20066,20858,253,136,117,0,3.3320000171661377
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,True,llm-001,1,12,7094,7699,110,62,48,0,1.6639997959136963
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,True,llm-002,2,12,10318,10996,110,70,40,0,1.8640000820159912
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,True,llm-003,3,12,13176,13963,160,114,46,0,2.2330000400543213
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,True,llm-004,4,12,16594,17461,91,42,49,0,1.4559998512268066
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,True,llm-005,5,12,20439,21378,220,180,40,0,2.9010000228881836
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,True,llm-006,6,12,23159,24231,65,25,40,0,1.1430001258850098
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,True,llm-007,7,12,26847,28063,162,113,49,0,2.2720000743865967
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,True,llm-008,8,12,29582,30843,109,66,43,0,1.8559999465942383
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,True,llm-009,9,12,30009,31290,85,35,50,0,1.440999984741211
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,True,llm-010,10,12,31053,32345,124,81,43,0,1.9210000038146973
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,True,llm-011,11,12,33918,35288,148,104,44,0,2.2730000019073486
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,True,llm-012,12,12,39281,40970,297,212,85,0,4.034999847412109
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-001,1,29,7171,7771,207,150,57,0,2.7940001487731934
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-002,2,29,10083,10741,81,41,40,0,1.3959999084472656
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-003,3,29,14621,15367,69,16,53,0,1.1759998798370361
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-004,4,29,18568,19397,2810,2553,257,0,32.66799998283386
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-005,5,29,18946,19762,57,8,49,0,0.9260001182556152
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-006,6,29,21619,22475,66,17,49,0,1.1549999713897705
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-007,7,29,25710,26623,68,14,54,0,1.2250001430511475
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-008,8,29,51733,53658,83,31,52,0,2.055999994277954
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-009,9,29,51902,53817,70,19,51,0,1.3819999694824219
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-010,10,29,54752,56717,82,25,57,0,1.3999998569488525
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-011,11,29,70149,72837,88,31,57,0,1.8519999980926514
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-012,12,29,70844,73534,84,29,55,0,1.4479999542236328
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-013,13,29,71331,74025,78,24,54,0,1.386000156402588
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-014,14,29,97365,101052,80,25,55,0,2.068000078201294
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-015,15,29,97538,101217,72,19,53,0,1.187999963760376
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-016,16,29,98593,102272,132,73,59,0,2.0929999351501465
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-017,17,29,115726,119993,234,177,57,0,3.6510000228881836
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-018,18,29,116188,120462,109,54,55,0,2.0199999809265137
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-019,19,29,117555,121852,249,193,56,0,3.5209999084472656
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-020,20,29,118324,122633,74,16,58,0,1.4539999961853027
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-021,21,29,143014,148391,237,185,52,0,3.9769999980926514
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-022,22,29,143451,148831,68,16,52,0,1.2980000972747803
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,llm-023,23,29,168331,174749,407,353,54,0,6.269999980926514
