workload,group,component,total,mean_per_trace,pooled_share,mean_trace_share
openclaw,replay_token_budget,prompt_qwen36_total_tokens,76666927,696972.0636363636,0.9941276431181709,0.9753552939500506
openclaw,replay_token_budget,output_recorded_total_tokens,452875,4117.045454545455,0.005872356881829131,0.02464470604994958
openclaw,nemotron_output,output_reasoning_known_tokens,272009,2472.809090909091,0.6006271046094397,0.5699633796045728
openclaw,nemotron_output,output_nonreasoning_known_tokens,162466,1476.9636363636364,0.35874358266629863,0.41332566100762114
openclaw,nemotron_output,output_unknown_tokens,18400,167.27272727272728,0.04062931272426166,0.01671095938780608
openclaw,capture_wall_time,llm_phase_seconds,10197.939001083374,92.70853637348522,0.8385145230123271,0.7528380446744836
openclaw,capture_wall_time,tool_phase_seconds,780.9679985046387,7.099709077314897,0.06421425041711279,0.0718267812458076
openclaw,capture_wall_time,other_unattributed_seconds,1183.0040004119871,10.754581821927156,0.0972712265705601,0.1753351740797088
minisweagent,replay_token_budget,prompt_qwen36_total_tokens,159767480,2619139.0163934426,0.9936202751038807,0.9902835969096908
minisweagent,replay_token_budget,output_recorded_total_tokens,1025817,16816.67213114754,0.006379724896119271,0.0097164030903093
minisweagent,nemotron_output,output_reasoning_known_tokens,320759,5258.3442622950815,0.3126863758350661,0.2990061191977564
minisweagent,nemotron_output,output_nonreasoning_known_tokens,705058,11558.327868852459,0.6873136241649339,0.7009938808022437
minisweagent,nemotron_output,output_unknown_tokens,0,0.0,0.0,0.0
minisweagent,capture_wall_time,llm_phase_seconds,24449.622628688812,400.81348571621004,0.7802981234414561,0.7145394676698019
minisweagent,capture_wall_time,tool_phase_seconds,4768.439136981964,78.17113339314696,0.15218247605858296,0.18587981542387777
minisweagent,capture_wall_time,other_unattributed_seconds,2115.6322343292236,34.68249564474137,0.06751940049996095,0.09958071690632024
