inference_nodes,frontend_nodes,physical_nodes,output_tokens_per_s,tasks_per_minute,actual_prefix_reuse_percent,task_p95_seconds,ttft_p95_seconds,output_speedup_vs_n1,output_efficiency_percent,original_valid,original_steady,source_run
1,1,2,433.58444444444444,6.1000000000000005,93.94768856664717,522.1099162295577,1.0323064474039712,1.0,100.0,True,True,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/scaling/multinode/openclaw-balanced-n1-7608115.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
2,2,4,869.0375,12.783333333333333,93.89497729992127,483.77192431178383,0.9796848544268859,2.0043096820816655,100.21548410408327,False,False,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/scaling/multinode/openclaw-balanced-n2-7616564.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
8,8,16,3510.686111111111,51.416666666666664,93.99047778178856,483.20987261789844,0.997645280417054,8.096891288637867,101.21114110797333,True,True,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/scaling/multinode/openclaw-balanced-n8-7618907.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
