cc,task_id,trace_id,cycle,admission_phase,in_admission_cohort,started_measurement_s,ended_measurement_s,completed_in_window,finished_after_window,lifecycle_s,setup_s,replay_s,cleanup_s,llm_only_s,tool_only_s,overlap_s,replay_gaps_s,llm_calls,output_tokens
1,00001,marshmallow-code__marshmallow-1359,1,warmup,False,-119.99551725387573,17.549866437911987,True,False,137.54490238497965,24.360734,110.884583,2.299585384979636,58.46229434013367,52.41219973564148,0.0,0.010088920593261719,54,8097
1,00002,django__django-11815,1,measurement,True,17.551942110061646,207.05221557617188,True,False,189.50022254593205,24.463953,162.486852,2.5494175459320445,101.77940368652344,60.69170141220093,0.0,0.0157468318939209,87,14677
1,00003,pyvista__pyvista-4315,1,measurement,True,207.0546371936798,432.23864459991455,True,False,225.18396196397953,34.380535,187.34404,3.4593869639795116,95.43208956718445,91.87836527824402,0.0,0.0335850715637207,69,14114
1,00004,django__django-11049,1,measurement,True,432.2410821914673,580.4076085090637,True,False,148.16647452500183,24.72613,121.006864,2.4334805250018405,75.20101046562195,45.792808055877686,0.0,0.013045549392700195,77,10918
1,00005,django__django-11422,1,measurement,True,580.409809589386,764.9301300048828,True,False,184.52026825596113,24.366793,157.60958,2.5438952559611323,104.39441347122192,53.20033097267151,0.0,0.014835596084594727,81,15166
1,00006,django__django-11630,1,measurement,True,764.9325006008148,1041.8676805496216,True,False,276.9351276929956,24.515909,249.841949,2.5772696929956,174.22236895561218,75.59683918952942,0.0,0.022740840911865234,120,25785
1,00007,sqlfluff__sqlfluff-1517,1,measurement,True,1041.8703134059906,1471.6260395050049,True,False,429.755668595084,22.914657,404.378416,2.4625955950839966,175.1396963596344,229.19463205337524,0.0,0.04408764839172363,132,24515
1,00008,sqlfluff__sqlfluff-1763,1,measurement,True,1471.6285088062286,1816.4538309574127,False,True,344.8252764410572,23.070972,319.271029,2.4832754410572306,203.35427975654602,115.88973617553711,0.0,0.027013063430786133,136,28787
2,00001,marshmallow-code__marshmallow-1359,1,warmup,False,-119.99554109573364,22.353180170059204,True,False,142.34760280803312,22.445172,117.83205,2.0703808080331214,69.2696053981781,48.55258917808533,0.0,0.009855508804321289,54,8097
2,00002,django__django-11815,1,warmup,False,-119.99147725105286,85.45197463035583,True,False,205.44343283795752,24.865168,178.137799,2.440465837957504,117.05724787712097,61.064772605895996,0.0,0.015778541564941406,87,14677
2,00003,pyvista__pyvista-4315,1,measurement,True,22.355589389801025,262.49760365486145,True,False,240.14196069003083,34.864248,201.897243,3.3804696900308215,109.57890892028809,92.26405072212219,0.0,0.05428338050842285,69,14114
