cc,minute_start,minute_end,samples,sampled_span_s,output_tokens_per_s,prompt_tokens_per_s,prefix_hit_percent,prompt_reuse_percent,prefix_query_amplification,prefill_compute_tokens_per_s,preemptions,recomputed_tokens,backend_running_mean,backend_waiting_mean,kv_mean_percent,completed_tasks
1,0,1,60,59.17930603027344,38.91563038643762,4957.966216263255,95.01549032238275,95.01549032238275,1.0,247.13030586263577,0.0,0.0,0.21666666666666667,0.0,0.2525948378800402,1
1,1,2,60,59.257269620895386,92.76498959819843,9479.984541878252,96.05844509557497,96.05844509557497,1.0,373.65879564913763,0.0,0.0,0.6,0.0,0.5387158996968877,0
1,2,3,60,59.16705846786499,87.59941991733471,14944.210898708652,97.39460871630448,97.39460871630448,1.0,389.3551681720316,0.0,0.0,0.5333333333333333,0.0,0.9382750068889494,0
1,3,4,59,58.243486642837524,42.940423799432,5823.655477220847,97.4462690527433,97.4462690527433,1.0,148.72049218339862,0.0,0.0,0.2711864406779661,0.0,0.5992218989215877,1
1,4,5,60,59.16206741333008,68.57434463295816,3938.7568789980464,90.8606372706791,90.8606372706791,1.0,359.97727819771006,0.0,0.0,0.4666666666666667,0.0,0.2902544318912463,0
1,5,6,60,59.17518067359924,90.57851516440475,10645.13860083641,96.55960681220711,96.55960681220711,1.0,366.23462325428727,0.0,0.0,0.55,0.0,0.6967024892073109,0
1,6,7,60,59.16530704498291,65.08881965358712,4066.4540085472568,96.56141284243515,96.56141284243515,1.0,139.82856530618702,0.0,0.0,0.4166666666666667,0.0,0.777992100670526,0
1,7,8,60,59.18711519241333,43.28644826954499,5140.561404469325,94.57856074674204,94.57856074674204,1.0,278.6924138197286,0.0,0.0,0.35,0.0,0.31918802241205063,1
1,8,9,60,59.17245578765869,90.41368874732123,7766.1809685418675,95.01941054610657,95.01941054610657,1.0,386.80159028947446,0.0,0.0,0.6,0.0,0.44364838798567113,0
1,9,10,59,58.16494274139404,59.520388688291625,8495.684457165798,96.91288695155934,96.91288695155934,1.0,262.27138343151034,0.0,0.0,0.3559322033898305,0.0,0.4633110863057008,1
1,10,11,60,59.163896560668945,86.38714312467542,7632.492554592727,94.21805428679114,94.12535874995571,1.0399696169790595,448.38155601866356,0.0,0.0,0.43333333333333335,0.0,0.3444475062000555,0
1,11,12,60,59.15650200843811,93.48084846550255,11388.418468419639,96.39913373776716,96.39913373776716,1.0,410.0817184312163,0.0,0.0,0.6,0.0,0.9814457609993575,0
1,12,13,60,59.22736716270447,70.6936708582339,13027.524892004121,98.06087720617015,98.06087720617015,1.0,252.61970465270971,0.0,0.0,0.36666666666666664,0.0,0.8110590612657302,1
1,13,14,60,59.281078815460205,79.87371509786249,3679.5720381376236,90.28785718542697,90.28785718542697,1.0,357.36529130902153,0.0,0.0,0.4666666666666667,0.0,0.2571874712960413,0
1,14,15,59,58.16488599777222,116.37605548232762,7690.034843653467,95.73386393614881,95.73386393614881,1.0,328.0673497878232,0.0,0.0,0.7796610169491526,0.0,0.8532957204440692,0
1,15,16,60,59.167057514190674,99.4810329817111,17446.46503254658,98.05474610949221,98.05474610949221,1.0,339.37803980169195,0.0,0.0,0.75,0.0,1.3401304307890143,0
1,16,17,60,59.163742780685425,99.40209533058665,16250.459399838219,98.13799745797441,98.13799745797441,1.0,302.5839671158242,0.0,0.0,0.6166666666666667,0.0,1.456783319555433,0
1,17,18,60,59.16171598434448,48.680129575046685,6783.914112738138,96.03635747530821,96.03635747530821,1.0,268.8901046110565,0.0,0.0,0.26666666666666666,0.0,0.6415908882153017,1
1,18,19,60,59.16388154029846,92.43815411730355,13026.17373870349,95.9839310530065,95.9839310530065,1.0,523.1401185014925,0.0,0.0,0.45,0.0,0.5727013869752912,0
1,19,20,60,59.17047357559204,128.7635460660375,10051.09413633841,97.21418867112361,97.21418867112361,1.0,280.00451912614636,0.0,0.0,0.7833333333333333,0.0,1.572976944980254,0
1,20,21,59,58.18290305137634,86.86400531677226,21887.13407571841,98.72088339064452,98.72088339064452,1.0,279.96196727441696,0.0,0.0,0.5254237288135594,0.0,1.348366034440079,0
1,21,22,60,59.164507150650024,54.71185607542809,22532.4449438155,98.50088626613788,98.50088626613788,1.0,337.78697672765844,0.0,0.0,0.35,0.0,1.138513823826583,0
1,22,23,60,59.16709113121033,25.199819215271603,6935.646017986107,98.94483407333037,98.94483407333037,1.0,73.18257357620794,0.0,0.0,0.16666666666666666,0.0,0.6117387710112976,0
1,23,24,60,59.23406004905701,1.7895109656878483,1189.383269383399,97.4280361096917,97.4280361096917,1.0,30.590508205909256,0.0,0.0,0.016666666666666666,0.0,0.06291907779921002,0
1,24,25,60,59.16019368171692,16.27783717512759,10154.66587604595,97.99717687165419,97.99717687165419,1.0,203.3799967716876,0.0,0.0,0.15,0.0,0.40782584734086486,1
1,25,26,59,58.16358232498169,84.09041885818094,10477.948153104784,94.8681975928524,94.8681975928524,1.0,537.7075955407092,0.0,0.0,0.5084745762711864,0.0,0.5632592440369718,0
1,26,27,60,59.166085958480835,107.83204426395717,16178.947525305906,97.51986168640212,97.51986168640212,1.0,401.26027631200736,0.0,0.0,0.6166666666666667,0.0,1.2418480756865995,0
1,27,28,60,59.175934076309204,118.13924206054591,17891.293420645117,98.4451240821585,98.4451240821585,1.0,278.1874127879712,0.0,0.0,0.7666666666666667,0.0,2.0441811334619246,0
1,28,29,60,59.16824245452881,107.2703825008443,21491.56282573793,98.69756483472237,98.69756483472237,1.0,279.9136718101439,0.0,0.0,0.65,0.0,2.022595756406725,0
1,29,30,60,59.240671157836914,46.91033956377396,14858.440709673758,98.91482168175374,98.91482168175374,1.0,161.24057701085601,0.0,0.0,0.3,0.0,1.0985579131073753,0
2,0,1,60,59.162625312805176,112.30062839287105,18736.305127421016,97.45590619302492,97.45590619302492,1.0,476.6691784026725,0.0,0.0,0.8833333333333333,0.0,1.5982364287682553,1
2,1,2,60,59.16032004356384,111.13868206186802,10170.888182432363,94.33068589177897,94.33068589177897,1.0,576.6195986580234,0.0,0.0,0.8333333333333334,0.0,0.8647928722329384,1
2,2,3,60,59.166762590408325,162.69269398154455,14604.838293790386,95.2588815686692,95.2588815686692,1.0,692.4326802129543,0.0,0.0,1.0333333333333334,0.0,0.9506751171121517,0
