cc,valid,completed_tasks,admitted_tasks,unique_admitted_traces,tasks_per_min,task_mean_s,task_p50_s,task_p95_s,cohort_finished_after_window,warmup_completed_in_window,cohort_completed_in_window,all_tasks,build_error_log_count,setup_p95_s,mean_trace_llm_calls,mean_trace_output_tokens,llm_calls_started_per_s,tool_calls_started_per_s,output_tokens_per_window_s,output_tokens_per_active_s,decode_tokens_per_active_s,backend_active_percent,llm_mean_s,llm_p95_s,ttft_p95_s,tpot_mean_ms,queue_mean_s,queue_p95_s,scheduled_to_first_token_p95_s,decode_latency_p95_s,tool_mean_s,tool_p95_s,native_tool_errors,tool_calls,new_tool_errors,gpu_busy_mean_percent,gpu_memory_busy_mean_percent,gpu_allocated_mean_gib,gpu_power_sum_w,replay_cpu_mean_percent,inference_cpu_mean_percent,task_concurrency_mean,client_llm_concurrency_mean,backend_running_mean,backend_waiting_mean,backend_waiting_max,kv_mean_percent,kv_max_percent,prefix_hit_percent,prompt_tokens_sample_delta,cached_prompt_tokens_sample_delta,prefill_compute_tokens_sample_delta,prompt_reuse_percent,prefix_query_amplification,prefill_compute_tokens_per_sample_s,preemptions_sample_delta,recomputed_tokens_sample_delta,prompt_tokens_per_sample_s,raw_counter_sample_span_s,drain_s,startup_s,setup_mean_s,llm_only_mean_s,tool_only_mean_s,overlap_mean_s,replay_gaps_mean_s,cleanup_mean_s,speedup_vs_cc1,parallel_efficiency_percent,new_tool_error_percent
1,True,7,7,7,0.23333333333333334,256.9838571457159,225.18396196397953,404.27655094887587,1,1,6,8,0,31.484213499999996,100.28571428571429,19137.428571428572,0.3888888888888889,0.3894444444444444,74.69777777777777,150.96374130727332,166.7680315732601,49.48060847653283,1.3287021042857141,5.006537699999998,0.3056190691248048,4.658569108060855,1.1867972955639873e-05,2.125349128618836e-05,0.17626553240697793,4.792697415483414,0.9624475763195435,1.467185,88,701,2,47.655431754874655,12.353621169916435,37.66551156641714,467.09396100278553,0.9463824896580318,6.449474436912484,0.9999907729360792,0.5173585478464763,0.464066852367688,0.0,0.0,0.8232045937591869,4.078258473408658,97.2370748732177,19676248.0,19132608.0,543640.0,97.2370748732177,1.0,302.08937585809895,0.0,0.0,10933.679415696357,1799.5998649597168,16.508908987045288,236.9083936214447,25.49127842857143,132.7890374660492,96.03491616249084,0.0,0.024436371667044505,2.6441887171444796,1.0,100.0,0.28530670470756064
2,True,13,13,13,0.43333333333333335,299.7709547562453,308.9361822899664,479.3575762375956,2,2,11,15,0,29.12347199999999,106.38461538461539,22624.53846153846,0.6883333333333334,0.6883333333333334,153.25333333333333,187.30923903199337,196.12510154464795,81.81835243437025,1.7954308644067798,6.8091787,0.3340172359487042,5.661897005365323,6.9955950362353775e-06,1.675299135968089e-05,0.20612053330987684,6.505443477083454,0.8271983801452785,1.3264056999999991,161,1239,2,80.23259052924791,22.034401114206126,37.66507768976323,630.815922005571,1.4439538428075367,8.854297387554663,1.999983174668418,1.2358882473574744,1.1643454038997214,0.0,0.0,2.1342312891125417,7.770735739873247,97.39280507480572,38121814.0,37127904.0,993910.0,97.39280507480572,1.0,552.3376279335013,0.0,0.0,21185.129757505347,1799.4609632492065,318.5936007499695,102.42399144172668,25.073678769230767,181.76818290123572,90.32102938798758,0.0,0.026142340440016527,2.5819213716299183,1.8571428571428572,92.85714285714286,0.16142050040355124
4,True,24,24,24,0.8,319.1813241395915,269.9364658460254,642.4774435643687,4,4,20,28,0,36.4625974,101.66666666666667,19246.208333333332,1.2755555555555556,1.2744444444444445,246.80944444444444,255.64607828465773,258.55328762355043,96.543411148919,1.9887085587979096,6.6607915,0.3709088635223452,7.3135387187368,4.0148619525069665e-06,8.546281605958939e-06,0.2250098880031146,6.422976646717871,0.8494650588491718,1.4960441,246,2294,2,93.42325905292479,29.98593314763231,37.6650390625,734.7710027855153,3.8223105583969423,9.461878732951412,3.9999722667535145,2.5321648924880558,2.407242339832869,0.0,0.0,4.3045230658936715,11.545880407825848,97.5082218537596,70198585.0,68449392.0,1749193.0,97.5082218537596,1.0,972.2192082691274,0.0,0.0,39017.08543900704,1799.1755204200745,452.36717224121094,102.44068622589111,26.16865770833333,196.71972731749216,93.65049795309703,0.0,0.028591275215148926,2.6138498895914988,3.428571428571429,85.71428571428572,0.08718395815170009
8,True,39,39,39,1.3,351.08784937143673,292.46662867302075,766.3181867177483,8,8,31,47,0,36.3601423,92.3076923076923,16958.153846153848,2.066666666666667,2.067222222222222,370.435,371.1414146005548,369.53539160750574,99.80966430240207,2.5703756083333333,8.77105649999999,0.38636218658066346,10.310565989598704,3.0394009644946745e-05,5.1710056141018756e-06,0.25104499302688055,8.542065361671836,0.9976442636388068,1.733442,359,3721,14,96.20306406685236,38.405013927576604,37.66644406119429,878.6323286908078,6.428984761850292,9.501112571760064,7.999955348968506,5.317563044627508,5.102506963788301,0.0011142061281337048,1.0,8.632932942690843,17.24993111049876,97.52439224055516,109088141.0,106387248.0,2700893.0,97.52411859323921,1.0008111239149267,1501.1228644129094,0.0,0.0,60629.837128460604,1799.248458623886,541.3790583610535,106.60196542739868,25.98351294871795,232.54039491139926,90.01913172770769,0.0,0.021448642779619265,2.5233611406674874,5.571428571428571,69.64285714285714,0.37624294544477294
16,True,57,57,52,1.9,430.69400017267185,379.29551856801845,910.0472658032317,16,16,41,73,0,37.5034224,86.42105263157895,15278.526315789473,3.0144444444444445,3.013888888888889,563.8338888888889,563.8338888888889,560.8194444444445,100.0,4.025249728713601,13.8515045,0.42802339629270136,15.486572618717252,0.00026064608922352485,6.622751243412495e-06,0.26059419906232506,13.569536796218017,0.9779993150230415,1.7561244,593,5425,17,95.92353760445683,46.71378830083565,37.66593837047353,993.6309637883008,9.319741556766726,9.440458015236542,15.99993307656712,12.13387130273713,11.799442896935933,0.0011142061281337048,1.0,19.532871613764392,31.634058969413058,97.3529811939087,153949912.0,149879664.0,4070248.0,97.35612190541558,1.0027061723815731,2262.716718916305,0.0,0.0,85583.24695647389,1798.832335472107,595.7943367958069,231.23138403892517,26.822492333333333,314.9381116356766,86.32963297241612,0.0,0.022630536765383,2.5811326814437554,8.142857142857142,50.89285714285714,0.31336405529953915
32,True,69,69,48,2.3,747.5653142423565,638.5551378499949,1518.0911339446664,32,32,37,101,0,38.670432,93.6086956521739,17658.144927536232,3.8566666666666665,3.8577777777777778,715.8666666666667,715.8666666666667,712.0105555555556,100.0,7.066515538605589,24.724359299999996,1.1415808047750027,27.52585204231839,0.09028445520312549,0.2174060573044698,0.342918091075262,24.287098458356912,0.9515461808755761,1.7103820499999955,756,6944,22,96.02033426183843,51.33105849582173,37.6664103303447,1099.9978997214484,11.56620005136239,9.329738884005472,31.99992424805959,27.211777674886914,26.278551532033426,0.35264623955431756,13.0,40.52566335408589,60.31964728575365,95.04516328701398,188109673.0,180131952.0,7977721.0,95.75900543934283,1.2377715153436049,4434.245650348024,0.0,0.0,104556.7398620031,1799.115707397461,997.4635574817657,97.36117100715637,26.714616420289858,627.3705740251403,90.92986615844394,0.0,0.022296138431714928,2.527961503226038,9.857142857142856,30.803571428571423,0.31682027649769584
64,True,15,15,15,0.5,4054.153205253797,4068.609058493981,4719.724113584286,15,15,0,79,0,37.3565026,107.46666666666667,20271.666666666668,1.8777777777777778,1.8727777777777779,342.44055555555553,342.44055555555553,340.5883333333333,100.0,33.63486690443787,87.26631799999998,57.705632516584586,54.34214519518877,18.912398018324232,55.150589454674616,1.9536701622535468,48.593372240767344,0.9218711168792644,1.8145254999999998,448,3371,5,96.57019498607242,45.763370473537606,37.70698908643802,1214.1708356545962,4.9376959450896605,8.33129459589985,63.99997614357206,61.988229355812074,25.74651810584958,35.94206128133705,55.0,27.291280162663657,63.461008542298146,17.77068336551226,57781700.0,26337168.0,31444532.0,45.580465787610954,8.398109037982614,17475.340548752938,0.0,0.0,32112.256750581557,1799.3659071922302,3548.4054868221283,100.42767786979675,27.227324000000003,3923.1254655679068,101.12227338155111,0.0,0.04184379577636719,2.636298520463636,2.142857142857143,3.3482142857142856,0.14832393948383268
