workload,physical_nodes,minute,per_replica_tokens_s,prompt_reuse_pct
openclaw,2,0.5,437.18333333333334,87.62406879868597
openclaw,2,1.5,423.9,89.59780855492579
openclaw,2,2.5,439.8833333333333,93.54277839947468
openclaw,2,3.5,417.78333333333336,92.93648008592628
openclaw,2,4.5,458.1666666666667,89.15762665965127
openclaw,2,5.5,491.25,92.80785580513998
openclaw,2,6.5,479.85,92.91244829418319
openclaw,2,7.5,452.55,92.8810381886646
openclaw,2,8.5,477.6,95.92547937965547
openclaw,2,9.5,457.75,94.40634105498185
openclaw,2,10.5,429.28333333333336,94.1911503793875
openclaw,2,11.5,422.1666666666667,95.86903347092465
openclaw,2,12.5,423.98333333333335,95.36624235377793
openclaw,2,13.5,482.28333333333336,95.26111928076809
openclaw,2,14.5,490.8666666666667,93.2618093077188
openclaw,2,15.5,456.2,92.71443596126416
openclaw,2,16.5,383.23333333333335,94.51901979756605
openclaw,2,17.5,421.95,96.54181189573914
openclaw,2,18.5,406.9166666666667,94.07481287098992
openclaw,2,19.5,422.5833333333333,92.15570254348114
openclaw,2,20.5,426.8666666666667,93.59963559097166
openclaw,2,21.5,438.51666666666665,94.39524950786978
openclaw,2,22.5,365.3333333333333,91.81429681669499
openclaw,2,23.5,391.01666666666665,93.17955951306732
openclaw,2,24.5,404.45,95.82157810486439
openclaw,2,25.5,429.78333333333336,94.22867104050253
openclaw,2,26.5,463.31666666666666,96.31284728473936
openclaw,2,27.5,440.4166666666667,93.32723002965714
openclaw,2,28.5,455.1,93.51606307590018
openclaw,2,29.5,493.15,93.99665499959104
openclaw,2,30.5,475.4166666666667,94.66240608123972
openclaw,2,31.5,449.1,95.0211284699352
openclaw,2,32.5,427.1166666666667,96.33037444104444
openclaw,2,33.5,376.48333333333335,95.38768854712953
openclaw,2,34.5,382.85,94.94211028251371
openclaw,2,35.5,401.73333333333335,95.13520490102184
openclaw,2,36.5,438.23333333333335,93.87437179024502
openclaw,2,37.5,432.48333333333335,87.6738447246623
openclaw,2,38.5,439.18333333333334,89.65859574990056
openclaw,2,39.5,430.35,91.69076496807914
openclaw,2,40.5,426.65,94.75110480274616
openclaw,2,41.5,438.1166666666667,92.93084798434967
openclaw,2,42.5,397.56666666666666,94.76175702909957
openclaw,2,43.5,397.8,93.87566879634853
openclaw,2,44.5,462.3,95.92316012633583
openclaw,2,45.5,485.53333333333336,91.30718563199947
openclaw,2,46.5,443.06666666666666,91.58529153905731
openclaw,2,47.5,424.8,93.08507419352789
openclaw,2,48.5,375.81666666666666,91.74844629448674
openclaw,2,49.5,437.3666666666667,86.15655880193755
openclaw,2,50.5,431.7,92.49334976967495
openclaw,2,51.5,394.01666666666665,90.15276287756305
openclaw,2,52.5,426.48333333333335,93.00067312436059
openclaw,2,53.5,467.0,94.79950861498723
openclaw,2,54.5,455.1,94.23824709928962
openclaw,2,55.5,419.75,93.92723078825655
openclaw,2,56.5,446.6333333333333,94.51819916554504
openclaw,2,57.5,426.01666666666665,95.93544659965448
openclaw,2,58.5,417.3,96.24653379492209
openclaw,2,59.5,405.76666666666665,95.90944340648576
openclaw,4,0.5,422.35833333333335,90.75475987415528
openclaw,4,1.5,440.8666666666667,93.4002496492634
openclaw,4,2.5,424.7,92.8523989680343
openclaw,4,3.5,390.21666666666664,92.4342359103464
openclaw,4,4.5,425.34166666666664,93.14545648492216
openclaw,4,5.5,450.98333333333335,93.04561600665929
openclaw,4,6.5,419.725,91.89296685403586
openclaw,4,7.5,425.2416666666667,94.47851428229175
openclaw,4,8.5,419.8833333333333,94.6032616974257
openclaw,4,9.5,442.46666666666664,93.41526268405562
openclaw,4,10.5,413.85833333333335,92.44019849981704
openclaw,4,11.5,429.9583333333333,94.16721156142694
openclaw,4,12.5,418.64166666666665,94.04152086126248
openclaw,4,13.5,423.05833333333334,94.27053389664928
openclaw,4,14.5,442.825,93.41561670180907
openclaw,4,15.5,454.6166666666667,93.7864415694089
openclaw,4,16.5,416.81666666666666,94.14920838114344
openclaw,4,17.5,426.55833333333334,94.12569043378133
openclaw,4,18.5,448.78333333333336,94.74322234360201
openclaw,4,19.5,468.7,93.69201741044893
openclaw,4,20.5,435.78333333333336,94.63286385485917
openclaw,4,21.5,464.8,96.2982949435277
