workload,cc,valid,run,inference_node,replay_node,completed_in_window,admitted_in_window,task_latency_n,pool_size,admitted_unique_traces,tasks_per_min,task_latency_mean_s,task_latency_p50_s,task_latency_p95_s,setup_mean_s,replay_mean_s,other_lifecycle_mean_s,llm_calls_started_per_s,tool_calls_started_per_s,prompt_counter_tokens_per_sample_s,output_tokens_per_window_s,output_tokens_per_active_s,decode_tokens_per_active_s,backend_active_percent,llm_latency_mean_s,llm_latency_p95_s,ttft_p95_ms,tpot_mean_ms,backend_queue_mean_ms,backend_queue_p95_ms,backend_prefill_p95_ms,backend_decode_p95_s,tool_latency_mean_s,tool_latency_p95_s,tool_errors,tool_calls,tool_error_percent,new_tool_errors,gpu_busy_mean_percent,gpu_memory_busy_mean_percent,gpu_allocated_mean_gib,gpu_power_sum_w,inference_cpu_mean_percent,replay_cpu_mean_percent,task_concurrency_mean,llm_concurrency_mean,backend_running_mean,backend_waiting_mean,backend_waiting_max,kv_mean_percent,kv_max_percent,prefix_hit_percent,replay_metric_samples,inference_metric_samples,drain_s
openclaw,1,True,trace_framework/runs/scaling/single-backend-cc124-20260907-2,x3005c0s1b1n0,x3005c0s1b0n0,8,8,8,11,8,0.8,82.32607254236063,47.77214866201393,199.2471082721487,14.29876775,62.673316875,5.353987917360641,0.09833333333333333,0.085,1343.064336708222,35.715,51.806951429900344,53.98779620569431,68.93862505753835,6.622486033898305,23.870642799999935,802.554660080932,18.345391985563488,0.01151616471993216,0.019492162391543385,762.6559247844851,23.20263876912643,0.5278284117647059,1.0426435,6,51,11.764705882352942,0,68.84949832775919,49.910953177257525,37.1142578125,801.9243478260869,7.047766423670668,0.5310209547991069,0.999887007077535,0.6922229075431824,0.671118530884808,0.0,0.0,3.184861539595596,8.058203712995482,83.66536337889667,599,598,163.92160081863403
openclaw,2,True,trace_framework/runs/scaling/single-backend-cc124-20260907-2,x3005c0s1b1n0,x3005c0s1b0n0,11,11,11,11,8,1.1,101.07740252736998,49.79221600200981,253.2066823784844,10.751340999999998,85.167185,5.1588765273699835,0.155,0.135,2072.605119799181,84.16833333333334,87.67118103238874,88.45486077131628,96.00456198056538,10.466107376344086,45.844422599999945,815.0684790220107,19.272739783466516,2.820383814934601,0.008908915333449837,620.598259358665,45.74762199674727,0.3469720987654321,0.888311,8,81,9.876543209876543,0,95.77173913043478,70.8064381270903,37.1142578125,1056.1058193979934,9.312001319586823,0.690642368862225,1.9999608079592386,1.6544906159241994,1.6377295492487478,0.0,0.0,6.595689252952948,12.022077270446562,90.98368107824119,599,598,63.640071392059326
openclaw,4,True,trace_framework/runs/scaling/single-backend-cc124-20260907-2,x3005c0s1b1n0,x3005c0s1b0n0,28,28,28,11,11,2.8,89.52611816190516,44.44654424500186,265.40231318316654,10.858528750000001,73.4796055,5.18798391190515,0.33666666666666667,0.28833333333333333,4320.577888748355,153.61833333333334,153.6683254098984,153.33816971614544,99.96746754646301,9.535287816831683,45.14174619999999,280.27614314341906,20.12691422797586,0.0033913130913241743,0.004125875420868396,249.51631563017133,44.93636249986012,0.335761549132948,0.9454552000000003,17,173,9.826589595375722,0,99.86769616026712,74.35350584307179,37.1142578125,1110.775893155259,9.615143323094129,1.5268360904288212,3.9999035676320394,3.1398459804058074,3.1385642737896493,0.0,0.0,10.730252042415566,20.69242348218766,98.33108116714315,599,599,132.60014986991882
openclaw,8,True,trace_framework/runs/scaling/preemptable-cc8-7596639/experiment,x3211c0s13b1n0,x3210c0s37b1n0,56,56,56,11,11,5.6,83.93014870115647,45.64999996550614,281.0537998705113,11.069644785714287,67.82694541071429,5.033558504727893,0.6483333333333333,0.5616666666666666,8452.51671735168,275.96666666666664,275.96666666666664,275.3183333333333,100.0,9.52037289203085,46.493504999999736,152.78258919715873,22.770934210632518,0.003212356609519772,0.0035070115700364113,97.00587363913644,46.37664661533173,0.3092551246290801,0.7705839999999997,34,337,10.089020771513352,0,100.0,73.51961602671119,37.1142578125,1173.4902003338898,9.641577992822654,2.8079358155200427,7.999810713529587,6.358540501197179,6.302170283806344,0.0,0.0,19.04349698066773,33.24134470647265,99.5638449585121,599,599,257.8014326095581
openclaw,32,True,trace_framework/runs/scaling/preemptable-cc32-7596641/experiment,x3212c0s1b0n0,x3211c0s19b0n0,134,134,134,11,11,13.4,130.08533314454505,66.84760494303191,431.49492203429077,11.518995574626866,113.4436072164179,5.122730353500273,1.5966666666666667,1.3733333333333333,20762.695402321817,690.795,690.795,689.1983333333334,100.0,17.146605989561586,87.85404044999996,300.91801485978067,39.79709336306199,0.7183211043842588,0.006067095091566443,234.08421865897253,87.59158976356262,0.2962656759708738,0.7396083999999997,87,824,10.558252427184467,0,100.0,65.85934891485809,37.1142578125,1364.3460934891486,9.688886544570652,7.207013896495358,31.9995430457592,27.86267795642217,27.714524207011685,0.0,0.0,40.490028957779614,56.72353236327146,99.77946093628141,599,599,281.55452013015747
minisweagent,1,True,trace_framework/runs/scaling/single-backend-cc124-20260907-2,x3005c0s1b1n0,x3005c0s1b0n0,2,2,2,10,2,0.2,296.495831230015,296.495831230015,336.452652931324,35.1992795,258.1256825,3.1708692300150574,0.19,0.19,2790.26985118058,36.965,53.11174416565746,54.0721865085058,69.59854280948639,3.6852042807017544,11.031427299999992,194.6072142571211,18.26908869967852,0.014577687946720081,0.02096831449307501,153.94850837765262,10.93852284733438,0.9044955087719299,2.095073699999999,19,114,16.666666666666668,0,69.63085284280936,51.40844481605351,37.10002416910535,801.8863377926422,7.557708926512996,1.477802613286838,0.9999926948547363,0.7021008479595184,0.6822742474916388,0.0,0.0,2.981497112804515,9.147014550928246,97.0650890265706,598,598,81.93659710884094
minisweagent,2,True,trace_framework/runs/scaling/single-backend-cc124-20260907-2,x3005c0s1b1n0,x3005c0s1b0n0,5,5,5,10,5,0.5,211.20732486683409,203.00693711603526,257.8970415079966,25.8619828,183.09904160000002,2.2463004668340716,0.4166666666666667,0.4166666666666667,5177.3887046969285,66.31666666666666,75.94440157769947,76.5346321594009,87.3226535320282,3.185473496,10.000140699999996,241.17131220409632,18.886391262471975,0.005935261957347393,0.01438900944776833,188.59889908344468,9.873723046114897,1.068757484,2.2576877999999994,29,250,11.6,0,87.65901502504174,64.01168614357262,37.143081894303,984.1044407345577,8.880721936271092,2.0011946080301617,1.9999790290991466,1.3181711848576863,1.285953177257525,0.0,0.0,5.112576291266926,11.98695434019067,96.46356029601164,598,599,161.4600908756256
minisweagent,4,True,trace_framework/runs/scaling/single-backend-cc124-20260907-2,x3005c0s1b1n0,x3005c0s1b0n0,9,9,9,10,8,0.9,270.54283383153637,263.4089622279862,424.7364312817575,26.806122555555554,241.334287,2.4024242759808203,0.7233333333333334,0.7233333333333334,9297.414593134281,128.27666666666667,129.17726874361674,128.67314239545425,99.30281690756479,3.826810965437788,13.3451442,278.2301573024597,20.77951110993178,0.0036312699047548157,0.006449647480621933,224.15809783269646,13.213730216887779,1.0790708548387098,2.3115535999999985,48,434,11.059907834101383,0,99.4648829431438,71.57984949832776,37.1142578125,1104.6322408026756,9.600753521937246,3.1328762219967485,3.999965401093165,2.7703837287425994,2.7240802675585285,0.0,0.0,11.121122926899666,24.46061214249875,96.91862193062244,598,598,262.99217104911804
minisweagent,8,True,trace_framework/runs/scaling/debug-cc8-7597420/experiment,x3001c0s19b0n0,x3001c0s13b1n0,16,16,16,10,10,1.6,276.6733702663623,249.96544012491358,439.85357628701604,27.8798726875,246.3349888125,2.458508766362314,1.2333333333333334,1.2383333333333333,16858.534791632905,227.51833333333335,227.51833333333335,226.285,100.0,4.554835450000001,16.480225649999973,282.20602376386506,23.746451995663122,0.003316260503000907,0.004037981852889061,200.3685436502564,16.358624511654465,1.2139934333781965,2.589453599999999,80,743,10.767160161507402,0,100.0,72.15886287625418,37.1396484375,1044.8956187290971,9.675933204935639,6.033546578651572,7.999909581343333,5.644658553202947,5.552587646076795,0.0,0.0,22.18956665524662,36.031108881083796,98.4806398559337,599,598,268.6277537345886
minisweagent,32,True,trace_framework/runs/scaling/preemptable-cc32-7596641/experiment,x3212c0s1b0n0,x3211c0s19b0n0,37,37,37,10,10,3.7,468.3327120010131,444.7708478079876,719.0274061211848,30.092305648648647,435.65738816216214,2.5830181902022673,3.125,3.125,40040.37812171113,581.6,581.6,578.4766666666667,100.0,8.458740413333333,29.54874769999995,448.6450167023576,43.46454418457623,0.00422619649519523,0.009830982889980073,290.8640083158387,29.323380272043817,1.2963600880000001,2.559200199999999,184,1875,9.813333333333333,0,100.0,62.13146911519199,37.1142578125,1367.806043405676,10.076576534180333,13.74243821125473,31.999891751607258,25.929487626552582,25.502504173622704,0.0,0.0,40.47012624318671,54.87706974410437,99.21243464877718,599,599,577.6819086074829
