budget,cc,minute_start,minute_end,samples,sampled_span_s,output_tokens_per_s,prompt_tokens_per_s,prefix_hit_percent,prompt_reuse_percent,prefix_query_amplification,prefill_compute_tokens_per_s,preemptions,recomputed_tokens,backend_running_mean,backend_waiting_mean,kv_mean_percent,completed_tasks
2048,32,0,1,60,59.154693603515625,556.9126977616887,95041.01293605333,90.88443379392486,91.11605902540002,1.7194813630867491,8443.387490900912,0.0,0.0,26.883333333333333,0.65,36.8352163130339,9
2048,32,1,2,60,59.15074110031128,514.1609290815792,86719.77568803456,89.90279820538463,91.27089198464033,1.640010730009071,7569.862890486146,0.0,0.0,26.716666666666665,0.65,43.66767704601819,11
2048,32,2,3,60,59.14063763618469,503.7314643657584,80153.43069449208,65.3443816124596,89.47538407176724,2.336980059384114,8435.840733897527,0.0,0.0,26.666666666666668,1.6666666666666667,46.2762928263066,10
2048,32,3,4,60,59.157296657562256,511.7880922662095,81446.40259493807,88.56053881898397,90.10132314297462,1.9398868735690822,8062.116204544857,0.0,0.0,28.0,0.48333333333333334,50.53090842288969,8
2048,32,4,5,60,59.14741110801697,513.1754616371686,95498.58386336695,94.38596275521503,91.84975676702499,2.3614184595044274,7783.366868911038,0.0,0.0,28.9,0.5666666666666667,54.923762285294394,6
2048,32,5,6,59,58.148197412490845,441.49261958867504,84194.83694860566,89.05710784823573,91.19629198872988,1.6398131206112696,7412.26760552021,0.0,0.0,27.54237288135593,0.9661016949152542,57.26795914268767,10
2048,32,6,7,60,59.153077363967896,501.30950614013597,80690.56104437688,93.37804736235994,90.04471941161867,2.680856760655298,8032.971760306842,0.0,0.0,28.616666666666667,1.0166666666666666,54.09387342702306,6
2048,32,7,8,60,59.14384627342224,339.30833492339264,56779.026248569484,89.24468067044077,86.44525375729945,3.7533168757612123,7696.2529270699315,0.0,0.0,27.433333333333334,1.65,57.54615596583081,7
2048,32,8,9,60,59.157915115356445,255.97589046996555,56337.51618022887,81.96647666420347,84.0760799445513,3.041648638836297,8971.141037765125,0.0,0.0,26.916666666666668,3.533333333333333,57.85615872141086,3
2048,32,9,10,60,59.15731596946716,238.7025132662926,32716.815634416835,48.48908616081522,84.67908314341088,6.538135792448122,5012.516121472555,0.0,0.0,25.566666666666666,4.3,53.7801965647102,6
2048,32,10,11,60,59.16940259933472,106.4908503921729,10416.295803651223,16.110143420450335,9.937597959521423,22.642776712324324,9381.166204409865,0.0,0.0,18.616666666666667,12.916666666666666,40.42665564434646,1
2048,32,11,12,59,58.157620429992676,111.21500419340342,10709.550965032124,22.634676092755868,13.054996291194236,25.130681617488865,9311.419483743623,0.0,0.0,19.305084745762713,12.084745762711865,40.67563086436475,1
2048,32,12,13,60,59.15717124938965,105.46481294208893,12183.476403250708,24.494640752887285,18.314510086855176,12.420702333712573,9952.132388447737,0.0,0.0,18.316666666666666,13.2,39.88839900799119,1
2048,32,13,14,60,59.1693274974823,96.82381467397569,11622.778711305493,13.724546621661835,11.286119771066959,18.812918779954398,10311.017985221482,0.0,0.0,16.783333333333335,14.533333333333333,36.236796178929,1
2048,32,14,15,60,59.16741180419922,91.08054308398079,11559.555828863531,16.783423913802046,18.68209471758859,19.90290796535999,9399.988659982713,0.0,0.0,15.866666666666667,15.866666666666667,34.33498668136309,0
2048,32,15,16,60,59.16616082191467,101.42621925499816,10807.579723225095,11.978116156912805,14.615219808489575,22.245518365202216,9228.028190697998,0.0,0.0,17.8,13.766666666666667,40.593368237347285,1
2048,32,16,17,60,59.16139006614685,171.1589262638754,30575.109847445314,52.64855362652508,71.25171239881783,5.398414807951501,8789.820513320952,0.0,0.0,20.466666666666665,9.816666666666666,45.6002571874713,6
2048,32,17,18,59,58.15567636489868,291.1151766815066,39677.605768380956,84.33926175929389,81.43748282757193,2.7101203131730833,7365.162384364029,0.0,0.0,27.983050847457626,1.7627118644067796,49.68170715189785,4
2048,32,18,19,60,59.14463496208191,406.2075962663835,49878.16734165804,80.31748173682628,89.45494039713549,1.9895377193285755,5259.682474994344,0.0,0.0,27.95,0.7166666666666667,52.02626986313952,9
2048,32,19,20,60,59.16014122962952,417.020640708746,67544.59872720328,92.83641789185825,92.91652443925696,1.752079356388021,4784.5051434433935,0.0,0.0,30.266666666666666,0.23333333333333334,58.650684302378984,2
2048,32,20,21,60,59.151073932647705,323.69657433103765,41093.894639474645,87.84850605239833,85.49664547703011,3.1001868560624137,5959.9932268587245,0.0,0.0,27.466666666666665,1.0,58.65527693579499,11
2048,32,21,22,60,59.15830588340759,255.061394586556,30890.522855769406,82.37535197770617,72.20365638976246,6.432724956509986,8586.435875988627,0.0,0.0,28.916666666666668,2.1333333333333333,55.41195921741527,1
2048,32,22,23,60,59.158830404281616,319.6648728645473,40804.10284489486,82.92162240302369,83.75213293878885,2.9488024265894146,6629.796385758393,0.0,0.0,29.433333333333334,1.25,63.48443097271975,2
2048,32,23,24,59,58.15290808677673,228.91374546799298,33572.90399108937,80.33292094464238,76.85951683140729,4.138451783019748,7768.932197265826,0.0,0.0,28.271186440677965,2.152542372881356,65.4646421715839,4
2048,32,24,25,60,59.15515422821045,241.7540818984123,31214.067887924415,66.0594385371654,71.25888112092622,8.124943608706978,8971.272358663151,0.0,0.0,26.516666666666666,3.4166666666666665,58.59465417470376,6
2048,32,25,26,60,59.15292048454285,281.1019280839234,35997.529497405274,57.05406477251945,73.79347493776297,6.856387297773649,9433.701589523685,0.0,0.0,25.433333333333334,5.4,48.719573803619,2
2048,32,26,27,60,59.15863609313965,165.7577092305067,22986.009986083707,49.869810231769954,51.525605208332564,9.350987372602718,11142.329227506316,0.0,0.0,25.616666666666667,4.766666666666667,52.41067328005878,4
