budget,cc,measurement_seconds,output_tokens_per_s,completed_tasks,tasks_per_minute,actual_prompt_reuse_percent,prefix_lookup_hit_percent,kv_usage_mean_percent,kv_usage_min_percent,kv_below_40_percent_sample_fraction,running_mean,waiting_mean,queue_p95_seconds,prefill_p95_seconds,ttft_p95_seconds,setup_p50_seconds,compute_prompt_tokens_per_s,num_gpu_blocks,alignment_zero_waiting,alignment_zero_waiting_per_step,full_isl_rejections,allocation_failures,running_limit_steps,preemptions,admissions_with_mamba_candidate_reduction,sample_span_seconds
2048,32,1800,294.68111111111114,141,4.7,81.70243919223796,62.05045707455269,50.61650733604145,24.49710664094792,0.19265033407572382,25.265033407572382,4.742204899777283,38.77686166758648,4.5200632476713345,41.497019355464715,10.9076,8332.215689501872,3630,7085,0.34946236559139787,0,0,0,0.0,303,1799.751297712326
8192,32,1800,433.0083333333333,202,6.733333333333333,85.61607070976174,81.74065205834427,61.37616498926657,28.85375494071146,0.02338530066815145,28.774498886414253,0.3658129175946548,1.2322788376826792,1.6745289657264943,3.418338600604326,11.058368,10146.079798000648,3543,822,0.029984679360910482,0,0,0,0.0,410,1799.6921336650848
