point,workload,cc,valid,completed_in_window,tasks_per_min,lifecycle_mean_s,lifecycle_p95_s,lifecycle_n,admitted_unique_traces,pool_size,setup_mean_s,window_output_tokens_s,backend_active_output_tokens_s,backend_active_percent,gpu_busy_mean_percent,gpu_power_sum_w,llm_concurrency_mean,waiting_max,kv_mean_percent,kv_max_percent,prefix_hit_percent,ttft_p95_s,tpot_mean_ms,tool_calls,native_tool_errors,native_tool_error_percent,new_tool_errors,original_errors_now_success
openclaw-cc1,openclaw,1,True,8,0.8,82.32607254236063,199.2471082721487,8,8,11,14.29876775,35.715,51.806951429900344,68.93862505753835,68.84949832775919,801.924347826087,0.6922229075431824,0.0,3.184861539595596,8.058203712995482,83.66536337889667,0.802554660080932,18.345391985563488,51,6,11.76470588235294,0,0
openclaw-cc2,openclaw,2,True,11,1.1,101.07740252736998,253.2066823784844,11,8,11,10.751340999999998,84.16833333333334,87.67118103238874,96.00456198056538,95.77173913043478,1056.1058193979934,1.6544906159241994,0.0,6.595689252952948,12.022077270446562,90.98368107824119,0.8150684790220107,19.272739783466516,81,8,9.876543209876543,0,0
openclaw-cc4,openclaw,4,True,28,2.8,89.52611816190516,265.40231318316654,28,11,11,10.858528750000001,153.61833333333334,153.6683254098984,99.96746754646301,99.86769616026712,1110.7758931552587,3.1398459804058074,0.0,10.730252042415566,20.69242348218766,98.33108116714315,0.2802761431434191,20.12691422797586,173,17,9.826589595375722,0,0
minisweagent-cc1,minisweagent,1,True,2,0.2,296.495831230015,336.452652931324,2,2,10,35.1992795,36.965,53.11174416565746,69.59854280948639,69.63085284280936,801.8863377926422,0.7021008479595184,0.0,2.981497112804515,9.147014550928246,97.0650890265706,0.19460721425712108,18.26908869967852,114,19,16.666666666666664,0,2
minisweagent-cc2,minisweagent,2,True,5,0.5,211.20732486683409,257.8970415079966,5,5,10,25.8619828,66.31666666666666,75.94440157769947,87.3226535320282,87.65901502504174,984.1044407345576,1.3181711848576863,0.0,5.112576291266926,11.98695434019067,96.46356029601164,0.24117131220409632,18.886391262471975,250,29,11.600000000000001,0,2
minisweagent-cc4,minisweagent,4,True,9,0.9,270.54283383153637,424.7364312817575,9,8,10,26.806122555555554,128.27666666666667,129.17726874361674,99.3028169075648,99.4648829431438,1104.6322408026756,2.7703837287425994,0.0,11.121122926899666,24.46061214249875,96.91862193062244,0.2782301573024597,20.77951110993178,434,48,11.059907834101383,0,2
