point,workload,cc,task_id,trace_id,cycle,admission_phase,completed_in_window,lifecycle_s,setup_s,replay_s,other_lifecycle_s
openclaw-cc4,openclaw,4,00011,cffe0e32-c9a6-4c52-9877-78ceb4aaa9fb,1,measurement,True,271.3688014310319,10.799345,255.697671,4.871785431031867
openclaw-cc4,openclaw,4,00012,8e867cd7-cff9-4e6c-867a-ff5ddc2550be,2,measurement,True,33.523795424960554,10.82852,17.390169,5.305106424960556
openclaw-cc4,openclaw,4,00013,32102e3e-d12a-4209-9163-7b3a104efe5d,2,measurement,True,32.8761156569235,10.573456,17.381088,4.921571656923504
openclaw-cc4,openclaw,4,00014,14569e28-c88c-43e4-8c32-097d35b9a67d,2,measurement,True,166.71656380593777,10.927469,150.66399,5.125104805937752
openclaw-cc4,openclaw,4,00015,cffe0e32-c9a6-4c52-9877-78ceb4aaa9fb,2,measurement,True,268.2511529979529,10.24077,253.175603,4.834779997952893
openclaw-cc4,openclaw,4,00016,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,2,measurement,True,42.0033324949909,10.765708,26.154543,5.0830814949909
openclaw-cc4,openclaw,4,00017,04a04a9b-226c-43fd-b319-d5e89743676f,2,measurement,True,110.1461714389734,10.781501,94.088412,5.276258438973386
openclaw-cc4,openclaw,4,00018,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,2,measurement,True,30.05861983099021,10.62815,14.025043,5.405426830990212
openclaw-cc4,openclaw,4,00019,00d579ea-0889-4fd9-a771-2c8d79835c8d,2,measurement,True,29.224686386995018,11.173972,12.826748,5.223966386995018
openclaw-cc4,openclaw,4,00020,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,2,measurement,True,39.564689152059145,11.042175,23.176931,5.345583152059145
openclaw-cc4,openclaw,4,00021,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,2,measurement,True,82.37373310595285,10.933435,66.160561,5.279737105952847
openclaw-cc4,openclaw,4,00022,e4e91f1c-1dcd-439e-9fdd-cb976f5293fd,2,measurement,True,47.22811487701256,11.04695,30.784769,5.396395877012555
openclaw-cc4,openclaw,4,00023,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,3,measurement,True,42.91256729001179,10.978263,26.709956,5.224348290011797
openclaw-cc4,openclaw,4,00024,04a04a9b-226c-43fd-b319-d5e89743676f,3,measurement,True,108.09616354701575,10.978784,91.890602,5.226777547015743
openclaw-cc4,openclaw,4,00025,e4e91f1c-1dcd-439e-9fdd-cb976f5293fd,3,measurement,True,48.208259938051924,11.169097,31.809357,5.229805938051925
openclaw-cc4,openclaw,4,00026,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,3,measurement,True,40.21082060306799,11.073893,23.839555,5.297372603067988
openclaw-cc4,openclaw,4,00027,14569e28-c88c-43e4-8c32-097d35b9a67d,3,measurement,True,165.27418776100967,10.993883,149.07744,5.202864761009664
openclaw-cc4,openclaw,4,00028,8e867cd7-cff9-4e6c-867a-ff5ddc2550be,3,measurement,True,33.04925461905077,11.015118,16.746718,5.287418619050769
openclaw-cc4,openclaw,4,00029,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,3,measurement,True,30.138391548069194,11.167927,13.677935,5.292529548069195
openclaw-cc4,openclaw,4,00030,32102e3e-d12a-4209-9163-7b3a104efe5d,3,measurement,True,32.94094338908326,10.512458,17.518131,4.910354389083256
openclaw-cc4,openclaw,4,00031,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,3,measurement,True,82.65087310702074,11.09874,66.331636,5.220497107020748
openclaw-cc4,openclaw,4,00032,00d579ea-0889-4fd9-a771-2c8d79835c8d,3,measurement,True,28.69468797603622,11.04097,12.40989,5.2438279760362185
openclaw-cc4,openclaw,4,00033,cffe0e32-c9a6-4c52-9877-78ceb4aaa9fb,3,measurement,False,260.11161066999193,10.466142,244.603555,5.041913669991942
openclaw-cc4,openclaw,4,00034,cffe0e32-c9a6-4c52-9877-78ceb4aaa9fb,4,measurement,False,258.44968650804367,10.528999,243.012686,4.908001508043668
openclaw-cc4,openclaw,4,00035,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,4,measurement,True,29.052151139010675,10.807953,12.918226,5.325972139010677
openclaw-cc4,openclaw,4,00036,04a04a9b-226c-43fd-b319-d5e89743676f,4,measurement,False,107.89313163002953,10.940876,91.626614,5.325641630029523
openclaw-cc4,openclaw,4,00037,e4e91f1c-1dcd-439e-9fdd-cb976f5293fd,4,measurement,True,45.98052119999193,10.769333,29.984928,5.226260199991923
openclaw-cc4,openclaw,4,00038,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,4,measurement,False,39.732281004078686,10.754918,23.746197,5.231166004078688
minisweagent-cc1,minisweagent,1,00001,pydicom__pydicom-1694,1,warmup,True,208.8830003850162,25.631253,181.201223,2.050524385016189
minisweagent-cc1,minisweagent,1,00002,pvlib__pvlib-python-1154,1,measurement,True,340.89229978702497,35.271768,302.430733,3.1897987870249835
minisweagent-cc1,minisweagent,1,00003,pvlib__pvlib-python-1072,1,measurement,False,252.0993626730051,35.126791,213.820632,3.151939673005103
minisweagent-cc2,minisweagent,2,00001,pydicom__pydicom-1694,1,warmup,True,214.07186337397434,23.668131,188.344301,2.0594313739743484
minisweagent-cc2,minisweagent,2,00002,pvlib__pvlib-python-1154,1,warmup,True,351.5586511170259,35.771446,312.643988,3.1432171170259267
minisweagent-cc2,minisweagent,2,00003,pvlib__pvlib-python-1072,1,measurement,True,261.5107173459837,35.306386,223.068517,3.135814345983704
minisweagent-cc2,minisweagent,2,00004,pydicom__pydicom-1139,1,measurement,True,185.70636499405373,27.684875,155.879111,2.142378994053729
minisweagent-cc2,minisweagent,2,00005,pylint-dev__astroid-1866,1,measurement,True,162.37026672204956,21.480825,138.928753,1.9606887220495537
minisweagent-cc2,minisweagent,2,00006,pylint-dev__astroid-1268,1,measurement,False,203.00693711603526,21.399664,179.653291,1.953982116035263
minisweagent-cc2,minisweagent,2,00007,pydicom__pydicom-1256,1,measurement,False,243.4423381560482,23.438164,217.965536,2.038638156048222
minisweagent-cc4,minisweagent,4,00001,pydicom__pydicom-1694,1,warmup,True,222.61812651494984,24.648008,195.953413,2.0167055149498196
minisweagent-cc4,minisweagent,4,00002,pvlib__pvlib-python-1154,1,warmup,True,374.2064648849191,37.200975,333.720516,3.284973884919168
minisweagent-cc4,minisweagent,4,00003,pvlib__pvlib-python-1072,1,warmup,True,276.109817462042,36.841663,236.069733,3.1984214620419777
minisweagent-cc4,minisweagent,4,00004,pydicom__pydicom-1139,1,warmup,True,193.29555364395492,28.89503,162.301378,2.0991456439549268
minisweagent-cc4,minisweagent,4,00005,pylint-dev__astroid-1866,1,measurement,True,174.95212240703404,21.591848,151.454473,1.9058014070340334
minisweagent-cc4,minisweagent,4,00006,pylint-dev__astroid-1268,1,measurement,True,221.51269688701723,22.142453,197.351873,2.018370887017227
minisweagent-cc4,minisweagent,4,00007,pydicom__pydicom-1256,1,measurement,True,263.4089622279862,23.084789,238.300959,2.0232142279861876
minisweagent-cc4,minisweagent,4,00008,pylint-dev__astroid-1196,1,measurement,False,462.0000228729332,21.78823,438.150472,2.0613208729332086
minisweagent-cc4,minisweagent,4,00009,sqlfluff__sqlfluff-2419,1,measurement,True,173.83645943400916,23.265222,148.380605,2.19063243400916
minisweagent-cc4,minisweagent,4,00010,pvlib__pvlib-python-1707,1,measurement,False,335.45284140401054,35.337017,296.880912,3.2349124040105153
minisweagent-cc4,minisweagent,4,00011,pvlib__pvlib-python-1154,2,measurement,False,368.8410438949941,36.093485,329.591513,3.1560458949940653
minisweagent-cc4,minisweagent,4,00012,pylint-dev__astroid-1866,2,measurement,True,168.353049994912,21.741169,144.676151,1.9357299949119806
minisweagent-cc4,minisweagent,4,00013,pvlib__pvlib-python-1072,2,measurement,False,266.528305360931,36.21089,227.221625,3.0957903609309767
