cc,valid,completed_tasks,admitted_tasks,unique_admitted_traces,tasks_per_min,task_mean_s,task_p50_s,task_p95_s,cohort_finished_after_window,mean_trace_llm_calls,mean_trace_output_tokens,llm_calls_started_per_s,tool_calls_started_per_s,output_tokens_per_window_s,output_tokens_per_active_s,decode_tokens_per_active_s,backend_active_percent,llm_mean_s,llm_p95_s,ttft_p95_s,tpot_mean_ms,queue_mean_s,queue_p95_s,scheduled_to_first_token_p95_s,decode_latency_p95_s,tool_mean_s,tool_p95_s,native_tool_errors,tool_calls,new_tool_errors,gpu_busy_mean_percent,gpu_memory_busy_mean_percent,gpu_allocated_mean_gib,gpu_power_sum_w,replay_cpu_mean_percent,inference_cpu_mean_percent,task_concurrency_mean,client_llm_concurrency_mean,backend_running_mean,backend_waiting_mean,backend_waiting_max,kv_mean_percent,kv_max_percent,prefix_hit_percent,preemptions_sample_delta,recomputed_tokens_sample_delta,prompt_tokens_per_sample_s,raw_counter_sample_span_s,drain_s,startup_s,setup_mean_s,llm_only_mean_s,tool_only_mean_s,overlap_mean_s,replay_gaps_mean_s,cleanup_mean_s,speedup_vs_cc1,parallel_efficiency_percent,new_tool_error_percent
1,True,40,40,40,1.3333333333333333,45.53354493210209,35.10283899505157,113.3573692150122,1,13.775,3336.65,0.3005555555555556,0.2838888888888889,72.93944444444445,144.66361994824283,166.56151614858794,50.420032673411896,1.7408831829944547,4.678955,0.5552473510615528,5.549908274618233,1.4238500435683402e-05,2.2351043298840523e-05,0.4852358390344307,4.1901565809967,0.48989042661448146,0.9383,41,511,1,48.49108635097493,12.921866295264625,37.66941455214136,474.2053314763231,0.7562702944097727,5.985703147475956,0.9999499281247457,0.5248240447044372,0.467966573816156,0.0,0.0,0.9089317686947387,6.229327453142231,92.79821774933873,0.0,0.0,11022.201918892071,1799.1963081359863,42.6350462436676,339.11284708976746,10.80266615,24.061447954177858,6.201319909095764,0.0,0.0026394665241241456,4.465471457102085,1.0,100.0,0.19569471624266144
2,True,69,69,69,2.3,52.57310636326724,39.04970137903001,116.56686827326193,2,15.159420289855072,3505.550724637681,0.5761111111111111,0.5405555555555556,131.1338888888889,165.18479885074188,179.6036929324357,79.38617221514383,1.9898236470588235,5.671862799999997,0.6362776926718651,6.715733436875983,0.0033025868346361425,2.179075963795185e-05,0.5028475424041972,5.204706123820504,0.4749183247687564,0.9207735999999996,75,973,2,77.95271428571428,22.29485714285714,37.665640066964286,658.1844114285715,1.1896714460944338,8.433608326237977,1.9999149992730882,1.1593802905082702,1.075766016713092,0.0022284122562674096,1.0,2.7468143882727425,12.565445026178013,93.61230361562164,0.0,0.0,24709.96109091049,1799.0935249328613,84.39870309829712,217.91096115112305,10.438164942028987,30.6400277407273,6.667963307836781,0.0,0.0026564252549323483,4.824293957470144,1.7249999999999999,86.25,0.20554984583761562
4,True,110,110,101,3.6666666666666665,65.77061742718902,43.53850981750293,190.7705271843063,4,13.863636363636363,3875.809090909091,0.8577777777777778,0.7994444444444444,232.525,238.81196191304238,241.93203361749428,97.36740075217352,3.1321321573834195,9.40989649999999,0.8443163784046183,9.440449138440524,0.012357636856037637,1.1593336239457113e-05,0.6408314007858277,8.961676094034917,0.49338523419041,0.8605755999999999,107,1439,4,95.82618384401114,32.27715877437326,37.66995179752786,821.3423175487466,1.8811531161140513,9.354757472128712,3.9998705128828687,2.684920134809282,2.582172701949861,0.013370473537604457,2.0,6.177488522893958,18.407274731330947,93.02982467237571,0.0,0.0,37183.73373692951,1799.0009145736694,234.92719078063965,101.40784406661987,10.509558681818183,44.330683003772386,6.328114388205789,0.0,0.0025587146932428534,4.59970263627994,2.75,68.75,0.27797081306462823
8,True,147,147,101,4.9,97.92435921321474,58.12733951606788,301.5938093621282,8,14.435374149659864,4048.2380952380954,1.1855555555555555,1.1066666666666667,330.1772222222222,330.5533748735836,329.5720781817039,99.88620516988966,5.20115804873477,17.21755615,1.119275597861269,15.386527307863728,0.0298126153896893,0.11101856033783389,0.8035837790579531,16.67180010105948,0.4986646952811245,0.8149389499999999,154,1992,7,98.41977715877437,39.64735376044568,37.67198897762883,952.3237158774373,2.551026887308978,9.42080989908892,7.9998301258352065,6.1759685954782695,5.985515320334262,0.03788300835654596,3.0,14.548357359586308,28.961146321300635,93.53094832693492,0.0,0.0,55663.20605092205,1798.8103830814362,157.54712510108948,102.37535619735718,10.68616842857143,75.64938680330913,6.668458654766991,0.0,0.002435194391782592,4.917910131582088,3.6750000000000003,45.9375,0.3514056224899598
16,True,179,179,107,5.966666666666667,160.36224618653623,94.79159386106767,505.58196364593454,16,14.804469273743017,4301.921787709497,1.4683333333333333,1.3766666666666667,410.94666666666666,410.94666666666666,409.47833333333335,100.0,9.439764231176692,31.644364000000017,1.6524873550748458,28.28173075467724,0.07332192190797351,0.45364258659537954,0.9973744177608751,30.939534448075587,0.525613008071025,0.8634391,189,2478,4,98.65682451253483,41.866434540389974,37.6729897501741,1014.089025069638,3.114614038951197,9.395655625917954,15.999802586767409,13.731815501848857,13.36657381615599,0.10807799442896936,4.0,30.23790864522943,45.24662441443924,93.31163400414565,0.0,0.0,68323.76387752587,1798.7550747394562,423.1097812652588,102.46578216552734,10.761937849162011,137.50471657214885,7.293448433529731,0.0,0.002745521801144051,4.799397801061352,4.4750000000000005,27.968750000000004,0.16142050040355124
32,True,140,140,100,4.666666666666667,431.1513916592446,239.78223603899824,1289.9123803259683,32,14.114285714285714,4274.521428571428,1.0833333333333333,1.0105555555555557,289.2372222222222,289.2372222222222,288.15444444444444,100.0,28.66501280974359,98.84356249999998,38.36665824161609,74.01254413653919,4.373949508618396,35.531962456833554,4.938146708684504,85.03573947843397,0.4829811231445849,0.8652061999999998,148,1819,2,98.48956013363029,38.3304565701559,37.674460498155625,1081.224732739421,2.529405271873122,9.037109041124808,31.99984043121338,30.263488937748804,25.249025069637884,4.751532033426184,20.0,50.34142327628489,74.48332874069992,61.482520243749526,0.0,0.0,44384.03528843329,1798.8995475769043,757.8296818733215,105.42203617095947,10.709954578571429,409.21028064489366,6.431044261796134,0.0,0.0026538542338779996,4.797458323530338,3.5000000000000004,10.937500000000002,0.10995052226498077
64,True,103,103,81,3.433333333333333,1389.859135500976,1002.2282207199605,3613.810028707469,51,13.679611650485437,4198.058252427184,0.6438888888888888,0.5877777777777777,184.8788888888889,184.8788888888889,184.26,100.0,100.71688264365832,191.03225309999985,106.6705268734484,98.17020207627272,66.1267666120507,104.08483627489186,5.202548850234594,110.16813780486117,0.5331219593572779,0.86142115,85,1058,2,97.44373259052924,37.019777158774374,37.7041015625,1172.5935988857939,2.0024295997793655,8.501346231929908,63.99988958345519,62.79052613192135,20.469637883008357,42.17827298050139,53.0,28.215650620082265,61.75254891154588,19.26888696447936,0.0,0.0,19141.491488936113,1798.8844819068909,2888.00035405159,108.50223875045776,10.93394116504854,1367.038021677906,7.116489306236934,0.0,0.003321599034429754,4.767361753403135,2.575,4.0234375,0.1890359168241966
