trace_id,cc,n_replays,mean_lifecycle_s,ratio_to_cc1
0ff53813-3367-4f43-bcbd-3fd725c1bf4b,1,1,35.43273198103998,1.0
0ff53813-3367-4f43-bcbd-3fd725c1bf4b,2,1,35.77594759594649,1.0096863999956358
0ff53813-3367-4f43-bcbd-3fd725c1bf4b,4,1,41.811803432996385,1.1800332939432907
0ff53813-3367-4f43-bcbd-3fd725c1bf4b,8,1,49.87019140506163,1.4074610851838103
0ff53813-3367-4f43-bcbd-3fd725c1bf4b,16,2,70.72032285301248,1.9959037561894706
0ff53813-3367-4f43-bcbd-3fd725c1bf4b,32,1,238.922521837987,6.742988995763415
0ff53813-3367-4f43-bcbd-3fd725c1bf4b,64,1,812.1771808910416,22.921664107798318
305ac316-eef6-4446-960a-92d80d542f82,1,1,23.847680534003302,1.0
305ac316-eef6-4446-960a-92d80d542f82,2,1,25.380494358949363,1.0642751743827032
305ac316-eef6-4446-960a-92d80d542f82,4,1,26.156237030983903,1.0968042361054333
305ac316-eef6-4446-960a-92d80d542f82,8,2,34.576414234994445,1.449885836305696
305ac316-eef6-4446-960a-92d80d542f82,16,1,41.77450758602936,1.7517220396535012
305ac316-eef6-4446-960a-92d80d542f82,32,1,228.18318054592237,9.56835949813092
305ac316-eef6-4446-960a-92d80d542f82,64,1,630.8424535800004,26.452989953488828
32102e3e-d12a-4209-9163-7b3a104efe5d,1,1,20.593316818936728,1.0
32102e3e-d12a-4209-9163-7b3a104efe5d,2,1,22.618497365969233,1.0983416399037884
32102e3e-d12a-4209-9163-7b3a104efe5d,4,2,26.415723813464865,1.282732842199276
32102e3e-d12a-4209-9163-7b3a104efe5d,8,2,32.14407821052009,1.560898542626304
32102e3e-d12a-4209-9163-7b3a104efe5d,16,1,52.49190154206008,2.548977515549646
32102e3e-d12a-4209-9163-7b3a104efe5d,32,1,135.66365298302844,6.587751462080066
32102e3e-d12a-4209-9163-7b3a104efe5d,64,1,292.76247689605225,14.216382891115455
42576abe-0deb-4869-8c63-225c2d75a95a,1,1,21.20593023998663,1.0
