workload,replica,start_seconds,end_seconds,actual_counter_span_seconds,arrivals,completions,unfinished_at_end,requested_output_tokens_s,prompt_mean,actual_prefix_reuse,uncached_input_tokens_s,output_tokens_s,preemptions,output_progress_interval_ms,running,waiting,kv,cpu,gpu_busy,gpu_power
minisweagent,r00,0,30,30.082623958587646,38,37,1,117.33333333333333,4549.263157894737,0.5075885235666889,2962.6737389228842,120.43497285966463,0.0,9.060062241329101,1.3666666666666667,0.0,0.004517221908526255,6.946029578526207,56.225,127.35000000000001
minisweagent,r00,30,60,30.08574390411377,79,68,12,312.93333333333334,6530.367088607595,0.6714052820345615,6029.566713661873,257.89623233943286,0.0,16.2982809834364,6.733333333333333,0.16666666666666666,0.030237154150197627,8.694082543799375,69.625,159.96975
minisweagent,r00,60,90,29.077863693237305,102,99,15,529.0333333333333,7941.931372549019,0.7715316581155955,6016.913823029254,478.09564508114863,0.0,17.47042760426626,9.448275862068966,0.0,0.0550147004419868,9.211782962436002,92.13793103448276,204.39525862068965
minisweagent,r00,90,120,30.077539682388306,132,125,22,654.9333333333333,9530.734848484848,0.842327493905284,6594.987558644928,671.7637218123562,0.0,27.091557153295525,18.133333333333333,0.0,0.10786749482401656,8.979228733208313,91.96666666666667,217.869
minisweagent,r00,120,150,30.076117992401123,143,146,19,622.9333333333333,10229.195804195804,0.8475288407308027,7415.551437068769,618.0318884470512,0.0,28.0815577239133,18.233333333333334,0.0,0.11650668172407302,9.136551908921332,93.31666666666666,232.26475
minisweagent,r00,150,180,30.0795681476593,136,132,23,760.0333333333333,11040.257352941177,0.8125506289376687,9439.264506930578,676.405987616656,0.0,35.46764382797494,24.433333333333334,0.0,0.1670713344626388,9.064051765345749,91.71666666666667,254.26541666666665
minisweagent,r00,180,210,30.07855725288391,135,129,29,712.4,12461.933333333332,0.8601033227310607,7763.238044857072,733.9447771512833,0.0,34.90429374197448,25.966666666666665,0.0,0.1883493318275927,9.153782494014957,92.425,258.99516666666665
minisweagent,r00,210,240,30.081467866897583,122,127,24,619.0333333333333,13472.61475409836,0.809306307357034,10707.555941924164,698.935307712708,0.0,39.69779614581177,28.966666666666665,0.0,0.23021833239224546,8.976150816950172,94.425,274.9098333333333
minisweagent,r00,240,270,30.07486605644226,121,117,28,742.8333333333334,17342.93388429752,0.8598351538271604,9607.391083895009,641.1001120940941,0.0,35.99330622279002,24.066666666666666,0.0,0.20361377752682103,9.181787842526186,90.45,265.4051666666667
minisweagent,r00,270,300,30.074077367782593,117,122,23,702.2666666666667,17394.393162393164,0.8479750645801755,10418.40772597247,680.9518958655904,0.0,32.933925506961096,22.766666666666666,0.0,0.22136269527573876,9.173432728380988,95.08333333333333,289.34866666666665
minisweagent,r00,300,330,30.08299160003662,105,113,15,527.2666666666667,18852.161904761906,0.8172798976785933,11815.14806524652,609.9127455122403,0.0,35.44148662180271,22.5,0.0,0.2139375117635987,9.21150504911246,94.975,285.03183333333334
minisweagent,r00,330,360,30.079631567001343,100,94,21,525.4333333333333,20279.48,0.8116862532747389,12995.172468429542,510.3785917657917,0.0,31.92630952634954,18.033333333333335,0.0,0.19024091850178806,9.163941070264434,94.91666666666667,291.54175
minisweagent,r00,360,390,30.083499670028687,94,96,19,691.7666666666667,21657.14893617021,0.8199494501926523,12055.34608599127,562.3680816914699,0.0,35.48022293791754,20.0,0.03333333333333333,0.22911725955204218,9.350825390624642,94.79166666666667,270.78625
minisweagent,r00,390,420,30.076202154159546,86,89,16,439.1666666666667,21291,0.7740693616640514,13768.09471746189,571.0827421614651,0.0,34.98719310202794,20.8,0.03333333333333333,0.2546489742141916,9.236520876123109,96.26666666666667,290.74691666666666
minisweagent,r00,420,450,30.0800039768219,91,79,28,492.06666666666666,18363.43956043956,0.7888474209365185,11868.415984089874,497.905519279203,0.0,27.65070517128761,14.5,0.16666666666666666,0.17384716732542818,9.249975443920217,95.53333333333333,274.16116666666665
minisweagent,r00,450,480,29.074777126312256,84,95,17,472.46666666666664,20709.309523809523,0.7573836271735538,13862.634208646876,463.04740158493524,0.0,32.06956386566162,16.137931034482758,0.06896551724137931,0.19967289082731363,9.270497896536163,97.01724137931035,298.3571551724138
minisweagent,r00,480,510,30.0754075050354,71,82,6,382.8666666666667,23614.098591549297,0.8297311568854875,9820.78131279014,497.7488666610298,0.0,23.215989149533783,13.2,0.1,0.17162619988706945,9.267987864701862,95.68333333333334,271.6255
minisweagent,r00,510,540,30.07998538017273,48,48,6,419.6666666666667,23845.645833333332,0.7411342279896551,9613.468768193246,353.3246398120081,0.0,16.884892726118938,6.6,0.0,0.09205721814417467,9.422699118027158,96.075,254.83708333333334
minisweagent,r00,540,570,30.079809188842773,49,53,2,251.3,19621.95918367347,0.785292612608115,6862.942470943978,326.7307960066917,0.0,13.292704722063352,4.766666666666667,0.0,0.0634669678147939,9.322176783839007,96.69166666666666,237.39466666666667
minisweagent,r00,570,600,30.090967655181885,44,45,1,231.03333333333333,23459.522727272728,0.8777672180031563,4192.985797127479,233.2593647513119,0.0,9.857053531806512,2.7,0.0,0.0386034255599473,9.45368444984593,90.1,211.80825
minisweagent,r00,600,630,30.085445880889893,42,39,4,288.76666666666665,28199.785714285714,0.7725417657594175,9269.997230692554,257.2340137699528,0.0,13.385685784962496,3.7,0.03333333333333333,0.057340485601355164,9.408991048900255,97.78333333333333,242.31141666666667
minisweagent,r00,630,660,30.079037189483643,44,41,7,386.3333333333333,26464.43181818182,0.7247230342512974,10274.730472691219,353.3690235176861,0.0,17.13033133680517,6.4,0.03333333333333333,0.09652738565782044,9.4433117002759,97.86666666666666,267.4125
minisweagent,r00,660,690,30.081156253814697,45,41,11,484.8,22944.733333333334,0.7211432595831425,9977.375785278844,381.13561537535924,0.0,16.20882205355174,6.3,0.06666666666666667,0.08451910408432148,9.393615637386299,97.49166666666666,254.76083333333332
minisweagent,r00,690,720,30.080644130706787,45,52,4,218.03333333333333,22908.62222222222,0.7728689445815519,7820.178284010462,299.7608681788601,0.0,12.392193510555066,4.566666666666666,0.0,0.051035196687370596,9.504725670705081,97.49166666666666,232.98733333333334
minisweagent,r00,720,750,30.07649850845337,41,41,4,231.86666666666667,24331.80487804878,0.6814930334680812,10321.547234387945,284.0091241870847,0.0,14.868152495658043,4.4,0.0,0.05838509316770186,9.37418545989709,97.175,253.16308333333333
minisweagent,r00,750,780,30.07662296295166,44,45,3,236.13333333333333,30257.477272727272,0.8261505906031942,7547.223645407667,273.50145028358986,0.0,13.348379152093585,4.0,0.0,0.06880293619424054,9.511927713534112,95.575,249.30266666666665
