run,workload,group,replica,output_tokens_s,prefix_reuse,samples,waiting_mean,running_mean,kv_cache_mean
minisweagent-frontend-f1-n8-build8-7643324.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,frontend_f1_build8,r00,652.3207407407407,0.9623189299069357,5385,0.08003714020427112,19.19201485608171,0.3199738697377065
minisweagent-frontend-f1-n8-build8-7643324.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,frontend_f1_build8,r01,649.7429629629629,0.9611224652303896,5386,0.0727812848124768,19.241366505755664,0.32878619789935765
minisweagent-frontend-f1-n8-build8-7643324.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,frontend_f1_build8,r02,653.6475925925926,0.9642460663192612,5385,0.06239554317548746,19.026369545032498,0.32069035481897296
minisweagent-frontend-f1-n8-build8-7643324.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,frontend_f1_build8,r03,646.6281481481482,0.964319780122254,5385,0.054410399257195916,19.28040854224698,0.31933969707979637
minisweagent-frontend-f1-n8-build8-7643324.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,frontend_f1_build8,r04,641.9181481481481,0.9609485065387106,5386,0.08039361307092462,18.97437801708132,0.32287983170706497
minisweagent-frontend-f1-n8-build8-7643324.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,frontend_f1_build8,r05,651.4596296296296,0.9615137589037308,5386,0.09134793910137393,19.339769773486818,0.32881911675563497
minisweagent-frontend-f1-n8-build8-7643324.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,frontend_f1_build8,r06,650.9061111111112,0.9631771481253212,5385,0.07780872794800371,19.16991643454039,0.32131058155037806
minisweagent-frontend-f1-n8-build8-7643324.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,frontend_f1_build8,r07,657.8618518518518,0.9651634567958147,5386,0.05959896026735982,19.163200891199406,0.32015736890694513
openclaw-routing-n8-round_robin-7643277.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,r00,156.53416666666666,0.6817078200306929,3590,0.06406685236768803,2.4111420612813372,0.06652419277464694
openclaw-routing-n8-round_robin-7643277.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,r01,160.0025,0.6729261361898262,3590,0.05766016713091922,2.754317548746518,0.07207060833075124
openclaw-routing-n8-round_robin-7643277.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,r02,160.18722222222223,0.6814400813211071,3590,0.05097493036211699,2.4217270194986074,0.06655997508607416
openclaw-routing-n8-round_robin-7643277.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,r03,154.41972222222222,0.6884657068648348,3590,0.10250696378830083,2.7178272980501395,0.07705834797393475
openclaw-routing-n8-round_robin-7643277.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,r04,151.27694444444444,0.6910334138252672,3590,0.08495821727019498,2.301949860724234,0.06623856342277076
openclaw-routing-n8-round_robin-7643277.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,r05,160.0275,0.6925894537364794,3590,0.05626740947075209,2.349025069637883,0.06322474909128657
openclaw-routing-n8-round_robin-7643277.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,r06,156.38,0.6890188190299069,3590,0.07270194986072423,2.372423398328691,0.06650060004183778
openclaw-routing-n8-round_robin-7643277.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,r07,148.20583333333335,0.13898685526207863,3590,61.85292479108635,39.81532033426184,0.9175652614310723
minisweagent-fixed_frontend-n8-7642788.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,fixed_sticky,r00,651.8033333333333,0.9665164327763262,5386,0.05867062755291497,18.578536947642036,0.309094431618205
minisweagent-fixed_frontend-n8-7642788.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,fixed_sticky,r01,652.9716666666667,0.9650154268810585,5386,0.060898626067582624,18.74340883772744,0.32203620738711713
minisweagent-fixed_frontend-n8-7642788.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,fixed_sticky,r02,664.2505555555556,0.9661421238329161,5386,0.04344597103601931,19.344225770516154,0.3273055832267315
minisweagent-fixed_frontend-n8-7642788.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,fixed_sticky,r03,658.197962962963,0.968492423910909,5385,0.03732590529247911,18.72070566388115,0.31109555738355543
minisweagent-fixed_frontend-n8-7642788.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,fixed_sticky,r04,654.0324074074074,0.9643524053030404,5386,0.05959896026735982,18.86130709246194,0.32090522451603515
minisweagent-fixed_frontend-n8-7642788.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,fixed_sticky,r05,665.3114814814815,0.9657965385950077,5386,0.05254363163757891,19.42814704790197,0.3301713059539308
minisweagent-fixed_frontend-n8-7642788.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,fixed_sticky,r06,653.8394444444444,0.9673147188811416,5386,0.04623096917935388,18.516895655402898,0.30884308461844423
minisweagent-fixed_frontend-n8-7642788.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,fixed_sticky,r07,659.0474074074074,0.9672939662761068,5384,0.052563150074294206,18.966010401188708,0.3205869410000814
