run,workload,group,start_unix,duration_seconds,output_tokens,completed_tasks,prompt_tokens,cached_prompt_tokens,output_tokens_per_second,tasks_per_second,actual_prefix_reuse,frontend_cpu_percent,minute,tasks_per_minute,waiting_per_replica_mean,running_per_replica_mean,kv_cache_per_replica_mean
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790011434.3432715,60.0,95444.0,20.0,14752238.0,12938112.0,1590.7333333333333,0.3333333333333333,0.8770270653171404,11.889360606266267,5.0,20.0,0.0546218487394958,13.701680672268907,0.2655943800445079
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790011494.3432715,60.0,99054.0,28.0,11102671.0,9369888.0,1650.9,0.4666666666666667,0.8439309784105105,15.521854242334712,6.0,28.0,0.05416666666666667,13.166666666666666,0.24532867494824018
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790011554.3432715,60.0,96909.0,30.0,13861943.0,12274416.0,1615.15,0.5,0.8854758672719979,15.81461704279358,7.0,30.0,0.10833333333333334,13.058333333333334,0.2605390080933559
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790011614.3432715,60.0,96485.0,22.0,12859793.0,11119680.0,1608.0833333333333,0.36666666666666664,0.86468576904776,11.425144381382283,8.0,22.0,0.0625,13.691666666666666,0.27009340297383777
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790011674.3432715,60.0,93084.0,23.0,14608352.0,13148256.0,1551.4,0.38333333333333336,0.9000506011903328,15.16317317935819,9.0,23.0,0.0625,12.991666666666667,0.23609777903256166
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790011734.3432715,60.0,99731.0,23.0,15826218.0,14521056.0,1662.1833333333334,0.38333333333333336,0.9175316553834909,12.554575023118465,10.0,23.0,0.06302521008403361,13.205882352941176,0.24308537644306735
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790011794.3432715,60.0,100885.0,24.0,18089067.0,16900224.0,1681.4166666666667,0.4,0.9342783682541504,13.892715683486978,11.0,24.0,0.03347280334728033,13.209205020920502,0.2521257167427806
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790011854.3432715,60.0,97873.0,23.0,19349537.0,17817888.0,1631.2166666666667,0.38333333333333336,0.9208431188818627,12.096248206910039,12.0,23.0,0.1506276150627615,13.389121338912133,0.23607327727757052
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790011914.3432715,60.0,97997.0,25.0,19856477.0,18142608.0,1633.2833333333333,0.4166666666666667,0.9136871560851404,13.402861912058784,13.0,25.0,0.10416666666666667,13.216666666666667,0.23567193675889328
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790011974.3432715,60.0,97104.0,27.0,20694706.0,19187520.0,1618.4,0.45,0.927170456057699,15.995118776237277,14.0,27.0,0.07083333333333333,12.9,0.2552936194240542
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790012034.3432715,60.0,91161.0,8.0,18486664.0,16780368.0,1519.35,0.13333333333333333,0.9077012488570139,6.451986029470798,15.0,8.0,0.225,14.1875,0.3037702333897986
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790012094.3432715,60.0,98984.0,27.0,19680880.0,18331632.0,1649.7333333333333,0.45,0.9314437159314014,13.563736232681759,16.0,27.0,0.07563025210084033,13.205882352941176,0.312219749559903
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790012154.3432715,60.0,108860.0,21.0,19127006.0,18054960.0,1814.3333333333333,0.35,0.9439511860873573,11.160549237503998,17.0,21.0,0.04602510460251046,13.690376569037657,0.26025293607611233
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790012214.3432715,60.0,91702.0,23.0,17221101.0,15657312.0,1528.3666666666666,0.38333333333333336,0.9091934365868942,13.347899686718025,18.0,23.0,0.38493723849372385,13.07112970711297,0.24908037205654088
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790012274.3432715,60.0,95594.0,18.0,17912119.0,16458288.0,1593.2333333333333,0.3,0.9188353427084758,10.560938878080886,19.0,18.0,0.15833333333333333,13.679166666666667,0.27864671560323734
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790012334.3432715,60.0,101486.0,30.0,16464715.0,15310416.0,1691.4333333333334,0.5,0.9298925611527439,17.417655361215296,20.0,30.0,0.07916666666666666,12.908333333333333,0.22728919631093544
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790012394.3432715,60.0,103755.0,21.0,17238525.0,16187424.0,1729.25,0.35,0.939026047762207,11.873055885030546,21.0,21.0,0.029288702928870293,13.560669456066945,0.23918477374908156
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790012454.3432715,60.0,89996.0,23.0,20748323.0,19293120.0,1499.9333333333334,0.38333333333333336,0.9298640666043226,13.48054100621932,22.0,23.0,0.06276150627615062,13.376569037656903,0.2842140577268829
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790012514.3432715,60.0,103059.0,25.0,16524552.0,15407040.0,1717.65,0.4166666666666667,0.9323726295272634,15.073944248760872,23.0,25.0,0.03333333333333333,13.233333333333333,0.2567687747035573
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790012574.3432715,60.0,102125.0,30.0,13973473.0,12609696.0,1702.0833333333333,0.5,0.9024024306627279,15.810756888225141,24.0,30.0,0.016736401673640166,13.02928870292887,0.24671308316933205
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790012634.3432715,60.0,103451.0,25.0,16517605.0,15405456.0,1724.1833333333334,0.4166666666666667,0.9326688705777866,15.993162623210056,25.0,25.0,0.03347280334728033,13.184100418410042,0.24461394526884794
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790012694.3432715,60.0,102700.0,21.0,17363832.0,16274016.0,1711.6666666666667,0.35,0.9372364349067648,12.304506852725424,26.0,21.0,0.020833333333333332,13.504166666666666,0.26511975343497085
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790012754.3432715,60.0,95607.0,11.0,19825553.0,18369120.0,1593.45,0.18333333333333332,0.9265375851054445,7.901367560281545,27.0,11.0,0.16317991631799164,13.95397489539749,0.2819424526719415
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790012814.3432715,60.0,104601.0,22.0,18804537.0,17705424.0,1743.35,0.36666666666666664,0.941550648122844,11.671818811997868,28.0,22.0,0.012552301255230125,13.719665271966527,0.27886521337494596
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790012874.3432715,60.0,100607.0,23.0,13392364.0,12410112.0,1676.7833333333333,0.38333333333333336,0.9266558167027121,13.388710018397566,29.0,23.0,0.029288702928870293,13.577405857740585,0.23570117348541944
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790012934.3432715,60.0,98928.0,16.0,14523354.0,13226928.0,1648.8,0.26666666666666666,0.9107350822681868,9.070846483601821,30.0,16.0,0.1625,13.991666666666667,0.2773974214191606
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790012994.3432715,60.0,97033.0,14.0,17279285.0,15852144.0,1617.2166666666667,0.23333333333333334,0.9174074042994256,9.679530233460998,31.0,14.0,0.07112970711297072,14.087866108786612,0.270511187920684
