run,workload,replica,minute_from_warmup_start,measurement_minute,requests,prefix_reuse,prompt_tokens_mean,uncached_tokens_mean,queue_seconds_mean,prefill_seconds_mean,decode_seconds_mean,residence_seconds_mean
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r01,59,49.0,35,0.8906135316403709,51967.514285714286,5684.542857142857,7.332974512662207e-06,0.3389860160249685,1.6511080824770032,1.9901014464242117
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r01,60,50.0,26,0.8566783003137978,66848.53846153847,9580.846153846154,0.014617715890590962,0.5846647684050438,2.85323244801615,3.452514932705806
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r01,61,51.0,26,0.8106618717134412,47571.38461538462,9007.076923076924,6.402108388451429e-06,0.42549450411640394,2.548254125142613,2.9737550295316257
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r01,62,52.0,22,0.8352274229428449,72210.27272727272,11898.272727272728,1.0327213782478463e-05,0.5816521578553048,2.8134329152632165,3.395095402544195
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r01,63,53.0,29,0.7567705999103655,47395.58620689655,11528,5.5728014558553696e-06,0.49652143675384336,3.367212056021752,3.8637390958851783
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r01,64,54.0,27,0.7717394363049787,44749.7037037037,10214.592592592593,0.07513710951294612,0.5024576884849618,2.6983584323553025,3.275953257525409
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r01,65,55.0,30,0.8101616989859555,53636.7,10182.3,0.38341432602610437,0.8213030713998403,5.42937719145945,6.63409457206726
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r01,66,56.0,40,0.9180588427459948,56247.375,4608.975,0.007859887176891789,0.4132249726913869,2.8627068448287902,3.283791708946228
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r01,67,57.0,32,0.8038348324580346,55237.09375,10835.59375,5.8644291129894555e-06,0.5615231574920472,4.4486043482029345,5.010133363306522
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r01,68,58.0,28,0.6708958793261629,41964.357142857145,13810.642857142857,0.03673003624758816,0.713595741736104,2.1817191111788685,2.932044906275613
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r01,69,59.0,30,0.6175279442734489,27161.2,10388.4,0.0578700923283274,0.4584684207647418,1.6211329702986403,2.1374714851379393
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,0,-10.0,37,0.4273961996322225,9215.324324324325,5276.72972972973,0.09452428470516729,0.73845793541546,3.454529222780587,4.287511451824291
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,1,-9.0,110,0.6071048901488306,24628.363636363636,9676.363636363636,0.05105661604849791,0.5205969538518481,7.224026868490248,7.795680423216386
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,2,-8.0,104,0.7960915722619321,31503.91346153846,6423.913461538462,0.07810885125162223,0.38297145622737633,7.288479507605259,7.7495598174058475
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,3,-7.0,97,0.7990896529833744,37805.907216494845,7595.59793814433,0.051838401983463275,0.4227346458601929,8.031972524129124,8.506545570707813
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,4,-6.0,84,0.7391887875048415,43614.607142857145,11375.17857142857,1.0639202312588514,0.8385581139258907,10.126824326960126,12.029302668003808
